ts,etf_eth_flow,etf_eth_price,api_version,scope,endpoint,path,fetched_at
2025-01-15 00:00:00+00:00,59700000.0,3223.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-16 00:00:00+00:00,166600000.0,3449.81,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-17 00:00:00+00:00,23900000.0,3306.93,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-20 00:00:00+00:00,0.0,3214.16,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-21 00:00:00+00:00,74400000.0,3283.21,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-22 00:00:00+00:00,70700000.0,3326.71,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-23 00:00:00+00:00,-14900000.0,3241.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-24 00:00:00+00:00,9200000.0,3337.87,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-27 00:00:00+00:00,-136200000.0,3230.5,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-28 00:00:00+00:00,0.0,3181.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-29 00:00:00+00:00,-4700000.0,3075.96,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-30 00:00:00+00:00,67800000.0,3112.54,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-01-31 00:00:00+00:00,27800000.0,3245.86,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-03 00:00:00+00:00,83600000.0,2868.06,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-04 00:00:00+00:00,307800000.0,2878.68,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-05 00:00:00+00:00,18100000.0,2730.06,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-06 00:00:00+00:00,10700000.0,2787.0,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-07 00:00:00+00:00,0.0,2685.26,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-10 00:00:00+00:00,-22500000.0,2626.07,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-11 00:00:00+00:00,12600000.0,2659.99,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
2025-02-12 00:00:00+00:00,-40900000.0,2601.03,v4,global,etf_eth,etf/ethereum/flow-history,2026-04-24T04:28:51.549664+00:00
